StockCode,Item,Category,Occasion,Design
10002,Inflatable,Decorations,,
10080,Inflatable,Decorations,,
10120,Eraser,Writing Utensiles,,
10125,Tape,Crafts,,
10133,Color Pencils,Writing Utensiles,,
10135,Color Pencils,Writing Utensiles,,
11001,Pen,Writing Utensiles,,
15030,Fan,Accessories,,
15034,Fan,Accessories,,
15036,Fan,Accessories,,
15039,Fan,Accessories,,
16008,Scissors,Tools,,
16010,Scissors,Tools,,
16011,Stickers,Crafts,,
16012,Stickers,Crafts,,
16014,Scissors,Tools,,
16015,Scissors,Tools,,
16016,Scissors,Tools,,
16033,Pens,Writing Utensiles,,
16043,Eraser,Writing Utensiles,,
16045,Pencils,Writing Utensiles,,
16046,Pen,Writing Utensiles,,
16048,Pencil Sharpener,Writing Utensiles,,
16049,Pen,Writing Utensiles,,
16052,Eraser,Writing Utensiles,,
16054,Pencil Sharpener,Writing Utensiles,,
16216,Pencil Sharpener,Writing Utensiles,,
16218,Pencil Sharpener,Writing Utensiles,,
16219,Pencil Sharpener,Writing Utensiles,,
16225,Toys,Toys,,
16235,Pencils,Writing Utensiles,,
16236,Eraser,Writing Utensiles,,
16237,Eraser,Writing Utensiles,,
16238,Eraser,Writing Utensiles,,
16254,Tape Dispenser,Tools,,
16259,Stationery,Mail,,
17001,Oils,Incense,,
17003,Purse,Travel,,
17021,Incense,Incense,,
17038,Incense Holder,Incense,,
17096,Incense Holder,Incense,,
17174,Keychain,Accessories,,
18007,Essential Balm,Tools,,
20615,Passport Cover,Travel,,Polkadot
20616,Passport Cover,Travel,,
20617,Passport Cover,Travel,,
20618,Passport Cover,Travel,,
20619,Passport Cover,Travel,,
20622,Passport Cover,Travel,,
20652,Luggage Tag,Travel,,Polkadot
20653,Luggage Tag,Travel,,
20654,Luggage Tag,Travel,,
20655,Luggage Tag,Travel,,
20657,Luggage Tag,Travel,,
20658,Luggage Tag,Travel,,Retrospot
20659,Luggage Tag,Travel,,
20661,Purse,Travel,,Polkadot
20662,Purse,Travel,,
20663,Purse,Travel,,
20664,Purse,Travel,,
20665,Purse,Travel,,Retrospot
20666,Purse,Travel,,
20667,Purse,Travel,,
20668,Disco Ball,Decorations,Christmas,
20669,Luggage Tag,Travel,,
20670,Purse,Travel,,
20671,Bowl,Dishes,,
20674,Bowl,Dishes,,Polkadot
20675,Bowl,Dishes,,Polkadot
20676,Bowl,Dishes,,Retrospot
20677,Bowl,Dishes,,Polkadot
20678,Hair Slide,Accessories,,
20679,Parasol,Tools,,
20681,Umbrella,Tools,,Polkadot
20682,Umbrella,Tools,,Retrospot
20684,Umbrella,Tools,,
20685,Doormat,Furniture,,Retrospot
20686,Umbrella,Tools,,
20694,Monster,Toys,,
20695,Monster,Toys,,
20696,Car,Toys,,
20697,Monster,Toys,,
20698,Monster,Toys,,
20699,Mouse,Toys,,
20700,Cushion Cover,Furniture,,
20701,Cushion Cover,Furniture,,
20702,Mobile,Decorations,,
20703,Mobile,Decorations,,
20704,Robot,Toys,,
20705,Robot,Toys,,
20707,Heart,Decorations,,
20711,Bag,Travel,,
20712,Bag,Travel,,Woodland
20713,Bag,Travel,,
20716,Bag,Travel,,
20717,Bag,Travel,,
20718,Bag,Travel,,Retrospot
20719,Charlotte Bag,Travel,,Woodland
20723,Charlotte Bag,Travel,,
20724,Charlotte Bag,Travel,,Retrospot
20725,Bag,Travel,,Retrospot
20726,Bag,Travel,,Woodland
20727,Bag,Travel,,Skull
20728,Bag,Travel,,
20731,Bag,Travel,,
20733,Tape Measure,Tools,,
20734,Tape Measure,Tools,,
20735,Tape Measure,Tools,,
20748,Coffee Set,Drinks,,
20749,Cases,Storage,,
20750,Cases,Storage,,Retrospot
20751,Gloves,Tools,,
20752,Gloves,Tools,,Polkadot
20754,Gloves,Tools,,Retrospot
20755,Pocket Book,Books,,Paisley
20756,Pocket Book,Books,,
20757,Pocket Book,Books,,
20758,Pocket Book,Books,,
20759,Pocket Book,Books,,
20760,Pocket Book,Books,,
20761,Sketchbook,Books,,Paisley
20762,Sketchbook,Books,,
20763,Sketchbook,Books,,
20764,Sketchbook,Books,,
20765,Sketchbook,Books,,
20766,Sketchbook,Books,,
20767,Journal,Books,,Paisley
20768,Journal,Books,,
20769,Journal,Books,,
20770,Journal,Books,,
20771,Journal,Books,,
20772,Journal,Books,,
20773,Notebook,Books,,Paisley
20774,Notebook,Books,,
20775,Notebook,Books,,
20777,Notebook,Books,,
20778,Notebook,Books,,
20780,Headphones,Music,,
20781,Headphones,Music,,
20782,Headphones,Music,,
20785,Stool,Furniture,,
20793,Tray,Food,,
20794,Hook,Storage,,
20795,Ceramic Ball,Decorations,,
20796,Ceramic Ball,Decorations,,
20798,Glass,Drinks,,
20801,Sundae Dish,Dishes,,
20802,Sundae Dish,Dishes,,
20803,Sundae Dish,Dishes,,
20816,Cushion Cover,Furniture,,
